text,label
A QUIT DEFINITELY - I ordered the part from another site and there was no problem.,2
Norauto Bordeaux Lac replaced my 2 front tires this morning. We set off in the direction of Ile de France. We quickly noticed that the steering wheel was vibrating. So we phoned Norauto Bordeaux Lac. They advised us to come back or go to another Norauto center.,0
Råkade beställa en roddmaskin som nog var lite för stor. Blixtsnabb och vänlig service i Sverige . Suveränt + de bästa priserna. Vänlig kundservice !,2
"Don't order from Leroy... - The fittings are of good quality, as are the drawers and runners.",1
ras,1
I have already found other Internet users in my case we are putting together a substantial file with the help of consumer association of jurist of our various legal protections and we will attack Leroy Merlin in court without missing to give them the publicity they deserve on social networks!!!!,0
"Very unpleasant experience with meat, I bought meat from this store. It was waterlogged and foul tasting.",0
Entrega en la calle - But no more news and when I contact LM,1
"I order a solid oak parquet floor, no worries, after 2 weeks I normally go to pick up my order and they tell me that the parquet floor is no longer being made by the service provider, instead of calling me beforehand ....",2
Auchan.fr to avoid! - then i received an email saying impossible to take under warranty without imei,0
"No soap on electric bikes. - Dear Sir or Madam,",1
"And it doesn't even deserve a star! A site that verifies your identity for Auchan by asking you for your bank details and identity card. If it's not the same name on the bank details as yours, if someone has paid for you, you're not about to receive your parcel!""",0
After purchasing a Worx WG761E lawnmower - Pessimo servizio on line.,1
"On trouve de tout à décathlon - If you feel like being the thief,",1
An order placed at the beginning of December doesn't... - I'M FURIOUS!!!,0
Never order from the Auchan.fr market place - Auchan.fr has been warned ... promising reminders that never came.,0
Unbelievable but true - Trajeron el material una primera vez; arañado e incompleto. Tuvimos que volver a la tienda a reclamar.,2
To be avoided !!!! - sebastien,0
Leroy Merlin no son nada profesionales - Grazie,1
hice un pedido de 5 puertas ya pagadas... - Atención al cliente ( según quién te toque),1
disastrous delivery - Magasin de bouc bel air,0
auchan.fr Scam - We are accused of lying when the scan makes mistakes.,0
Request for an opinion about a noise... - 1; in 2021 I'm asking for a hitch for my 2012 citroen berlingo,1
"I order 2 tires + alignment on the Norauto website and book a slot at Norauto in Vernon (27) for Tuesday, April 5 at 8am. I drop my car off on Monday around 6pm.",0
"Only skis of the own brand, very little choice and prices much more expensive than the specialized sites.",0
I'm looking for decorating advice - After 4 calls with different answers depending on the caller,1
"Norauto Andrézieux (42) : No worries when it came to preparing my old car (11 years old) before the technical inspection renewal. They were given carte blanche by me, but they did what was strictly necessary without pushing me to consume (and therefore not billing me for unnecessary services).",2
"Avoid delivery on 13/04/19... - Hello,",0
Non-existent customer service. My order was shipped in 3 parts and I never received one part of it. I have attempted to contact Decathlon 3 times and have been ignored. I'll give it another week before I initiate a charge back with my credit card company.,0
"The garden furniture should have been delivered on 18 January and since then I have been going from one disappointment to another. The delivery date of Auchan's supplier, Direct usines, changes every day, with delivery scheduled for D+15 days after each call.",0
"ordenado el 23/3 recibí un mensaje equivocado para pagar el transporte, que ya fue pagado, 7 euros solo por unos pocos tornillos pero necesarios. hasta hoy nada recibido. es una estafa, nunca compre en línea / telefone con leroy. ¡Pedido con otra compañía más tarde y los productos ya están en casa chaper y más rápido! Evita esta estafa.",0
I placed two orders online... - Avoid both !!!,0
Es war extrem unverschämt bereits 45 min. vor Schließung des Geschäfts war eine Rauswurfstimmung und die Kasse hat 30 min. vor Ende vor unserer Nase zugemacht,0
Las que atienden al telefono son unas... - fortunately I found my happiness elsewhere ... for 30€ less !! it's,2
"For 2 months now I have been paying for the installation of a softener. They've been bugging me ever since because I've had no news from either the installer or Leroy Merlin. I call them, I send them emails and each time I'm told that they're understaffed and that I have to wait...",0
Después de un correo electrónico y dos... - Seller's comment,1
Not great... but OK -,0
- Proven lack of professionalism (see air filter removal by snatch,0
"I returned to the store 3 days later with this item, but I didn't have the receipt with me, so I went to the security guard at the store entrance (coming in from outside the store) to ask him to remove the lock, but he saw red when he saw the lock and treated me like a thief because I didn't have the receipt!",0
"Norauto... incompetent!!! - I'll let you make up your own mind: for my part, Norauto, never again.",0
"There is an oil station of Auchan which is quite rare for a supermarket but if you are visiting with your car, you must take advantage of lower oil prices than others. Inside supermarket, product prices are %90 better than others in Cachan. If you will go to supermarket frequently then it is your permanent address. It is my favorite market, too. Definitely recommended.",2
Top,1
"There were already two contradictory opinions in two different Norauto centers, but there are also two contradictory answers for a single customer service department!",0
Very satisfied with this merchant - Decathlon you are the best in all areas.,2
"grrrrrrrr 4h to do an oil change... - In short, sign absolutely flee!!!",0
Nickel 👍👍,1
I can drop off my bikes but without the help because there is too much delay in the management of the files but nobody bothered to warn me so that I can go elsewhere before the end of the scheme.,1
"Auchan is a great place to pick up supplies before heading into the Alps. The store is well-stocked and offers a variety of options, including a superb selection of takeaway sushi. We had the super luscious and delicious salmon chirashi and it did not disappoint! The non-food selection was also impressive. The staff was friendly and the atmosphere was pleasant. Overall, a must-visit destination for anyone passing through the area. Definitely deserving of 5 stars!",2
They keep coming back. They tell us that the disc and pads they changed screwed up the caliper.... Change disc and pads for the 2nd time and find a used caliper... Which they change and charge us for... The caliper... I don't recommend norauto... For tires and more..,0
I am ordering an awning for one of... -,1
Very attentive and efficient employee. I was contacted again by this person for further action.  Very satisfied with his intervention. Problem solved in 48 hours.,2
"1st on fishmonger. Nice staff, but no choice. The stall is almost always empty! The one at intermarché cavaillon is half the size, very well stocked and varied.",1
"Roof box ordered at the beginning of July, date of reception on 7/07 but cancellation of the order on the 14th because product not received and imminent departure on vacations.",0
"Internet order, outrageous - No doubt this brand is better at advertising than assisting ....",0
"And again it's too much - ""I'm telling you we don't have one and besides, it's not my department"".",0
"an order of almost 7000e for a kitchen at Leroy Merlin. the sink that arrives broken, damaged doors complaints made no returns from the manager ML Frederici nor customer service contact Leroy Merlin ... I don't recommend customer service... once you've paid, you can't get through to anyone.",0
"TO AVOID !!!! especially for online orders no possibility of making complaints for orders that do not arrive, I've never seen that ... SUPPORTING INVOICE",0
"Invoicing not up to standard - if you're looking for a serious company, don't bother!",0
"Reseller Products - No se si pasa en todas las tiendas, pero si estás en Tortosa te aconsejo que no vayas.",1
"Order N*697062 Leroy Merlin - Negozio fantastico, ricco di materiale, purtroppo il personale è pessimo.",1
Pésima atención al cliente - Room for improvement IMO.....,1
Ras,1
"Mi reforma fue un auténtico horror, una experiencia muy mala. Tardo 1 año más de lo previsto y aún seguimos reparando cosas. Pésima gestión en casi todos los niveles. A punto estuvimos de ir a jucio.",0
"If you need to make a purchase at the Louvroil store, you'll need to spend half a day there. The time to find what you're looking for (if 1: you find it, if 2: there's what you've got) ... Not a great way to organize. When some of it isn't in the drive store, of course, and you don't know exactly why ...",0
Good,2
They are paying taxes in RuZZia! - Flee !!!,0
Hoy estuve comprando en Leroy palma y la chica de jardín se llama Juana un 10 amable y sabe cómo tratar al cliente y hace su trabajo espectacular.... volveré,2
"late order, delivery times not respected, out of stock, non-existent after-sales service to be absolutely avoided",0
"I'm not even going to try for a refund which will never happen anyway. I'm deleting this account right now, that's all.",0
"Shameful kitchen ordered in September with an advertised 8-week lead time. Then early November. In the end installation in December because contractor scheduled just now. No follow-up on orders. No consideration for customers. On the other hand, the price is respected.... it's a shame for such a big company.",0
Order on auchan.fr - Delis de faciès,1
"Nie szanują klientów. Długie oczekiwanie na towar, który przychodzi niekompletny. Reklamowanie, to droga przez mękę. Nie polecam.",0
"It was supposed to be reversible from one side yellow to the other pink, it arrived salmon colored with pink patterns but not reversible at all",0
Some is fresh or some is not that fresh,1
The service is simple... - They're quick with the collection but not with the refund!,0
norauto colombiers incompetents - same for spark plugs:,0
One of the best Auchan supermarkets i buy from on a weekly basis 👌🏻👌🏻,2
DEPLORABLE TO ABSOLUTELY AVOID - Prices have risen sharply for no apparent reason.,0
"I've lost count of the delivery delays, the incompetence of the staff, the orders delivered halfway because the picker forgot to read the second page, the appointments made to collect an order where you have to wait 1 hour because nothing is ready, the delivery of several pallets of tiles without making an appointment in the middle of the week (and yes I work during the week like many people...) the joinery where you discover when unpacking that the storekeepers have had to fight with...",0
"The withdrawal period was not even over. Now Leroy Merlin is charging me for transport! Incompetent salespeople, incomplete website, GTC not respected.",0
"After 30 calls I finally reached the supplier and guess what,",1
Auchan is supporter of Russia warcrimes in Ukraine. Auchan leadership are criminals aling with Russian army Orcs who murder people in Ukraine.,0
"He puesto la Estrella , porque si no no me dejaba escribir. Les puntuó un cero en la empresa subcontratada para reforma baño y por la respuesta de zLeroy . Y si es en la sección de ventanas otro cero. No tienen ni idea de diseño, eso si te cobran por adelantado, luego por mucho que protestes, se lavan las manos",0
Sur retour matériel excès de zèle de... - A bonne entendeur.,1
"I will make a next comment if I am satisfied or not with the tires chosen. All in all, the welcome and the staff are very average at Norauto Vitrolles.",1
"The refund will only be made upon complaint, so be careful as this is not the kind of honest merchant site that will make an automatic refund when the order has been cancelled by them.",0
"For the pedestrian drive, Very good reception, products available quickly, the team is friendly, a pleasure to come and collect the races. The store is small but with convenience products which is practical.",2
Es un desastre de compañía - In short by refusing to help me leroy lost a customer.,0
"two tire orders placed two months ago, after several calls where no one knows where the products are, after several promises of delivery not kept, he simply cancels the order after two months and you're on your own to find your tires.",0
"Hace año y medio compré las puertas de interior. En varias ocasiones les comenté el problema con las puertas y sus palabras que el proveedor les dijo que no era cosa suya. A nosotros quien nos vendió las puertas fue el Leroy Merlín, por lo tanto es su responsabilidad. La compra la hice en el Leroy de Mos. Nefasto servicio y atención .",0
"Once again, Leroy Merlin treats its customers as """"files"""" to be validated according to procedures and not as unique customers to be managed humanly.""""",1
"On 20/02 I'm still waiting for my 3 other items (GARDENA 1391-26, GARDENA 8322-29, GARDENA 1347-26) which were dispatched in 2 parcels (comical, isn't it?) ...",0
SAV Auchan... a scam! - Garden shed ordered on december 25th,0
Ordered 3 sets of bedding (3 box springs and 3 mattresses) on 11/03/2020 for our new home.,1
Felicitación - Falta tubo salida agua de la maquina por Fuera .el agua cae en el suelo . increible,1
"This is a VERY POOR service, let the clients waiting without knowing how long it will take to be served and also not knowing they have to wait for their bikes to be fixed.",0
"Having arrived in Béthune mid-June 2020 - Having arrived in Béthune mid-June 2020, I turned to the Auchan store there.",1
"""""The slide is in 2 parts. To assemble them, screws, washers and nuts are supplied. One screw was missing... Then the plastic has to be drilled, the holes are not made... Fortunately, there's a mark where you have to drill. But... too bad the holes in one part don't fit opposite the holes in the other part.... What a waste of time to assemble it. Once assembled, it's Ok, glides well.""""""",0
Totally dissatisfied 😡😡😡 - Purchase Leroy Merlin by internet ... A FLEE ABSOLUTELY!,0
"AUCHAN, thief or swindler, this retailer literally makes fun of its customers !!!!! Don't buy anything from them!",0
"Scammers - Decathlon, Chronopost will let you off the hook,",0
And what about the elderly or those who can't create their after-sales service on the Internet or who don't have a printer...,0
"After years of servicing my car with them, I'll never set foot in their garage again, and I wouldn't recommend it.",0
I ask nicely if it's normal that there are no bearings in the rear wheel of the bike I bought from them and took already assembled by their staff.,1
"Unacceptable: the initial trade-in validation voucher for the treadmill is for 320 euros (I should point out that the treadmill is in very good condition, both visually and operationally) and after 3 weeks a simple one indicating that they are pleased to transfer the sum of 160 euros to us without having received a counter-offer, of course. This is called theft....",0
"And won; only 2 boxes were present... I'll wait a few days, you never know. No luck. I call the after-sales service (very friendly) who launches a search and informs me that I will be contacted when they have an idea of where the package is.",0
"Following an order for tires at 31.50 euros marked with a delivery time of a few days, Norauto contacted me to write that they were not available, but offered to sell me more expensive tires 37.50 euros and without giving me any details of which tire it was. One of Norauto's replies below.",0
"Leroy Merlin nimes . The manager is a first class swindler, I bought a shower door for 300€. The dimensions do not correspond. The manager doesn't want to know anything. He tells me it's up to me to be careful. Bravo le professionnel? They make you take cards for nothing, despite what Leroy Merlin says, we all have the right to make mistakes! And we especially have no right to be screwed !!!!",0
Leroy Merlin ESTAFADORES Y SINVERGÜENZAS - Nunca pagues un solo recibo sin fijar fecha de ejecución de operaciones.,1
MAILLE STORE - MAILLE STORE,1
Las tumbonas de Leroy Merlin: Sigue la pesadilla... - Telefono de contacto no operativo,1
"Order DECATHLON 250059140874563129 made the 25/08/2022 for a delivery by DPD initially envisaged the 31/08/2022. After 5 postponements by DPD, I contacted DECATHLON yesterday and what a surprise this morning the delivery date on my DECATHLON account changed to 06/10/2022. I really think that the customer is being taken for a ride. I'm going to cancel my order if I don't get a delivery date this week before 12:00 today.",0
Do-it-yourself store where there's... - Big surprise ...store to boycott !!!!!!,0
"Large selection and low prices - Reliable, fast and trackable!",2
Connected watch qilive Q.4223 - The total scam .,0
Order placed on 30 07 2019 supposedly left on 31 07 2019 to date 05 08 2019 and nothing received more the package tracking indicates that the package was not delivered to the post office Please never order on Auchan I paid by Paypal and I am obliged to ask them for a refund Auchan is not at all serious,0
n'allez pas au drive de nimes très mauvaise organisation. on perdes des heures lamentable.et leur site souvent en panne.adieu Leroy merlin,0
Sur le site commande sur site Leroy merlin - No les utilizan!,1
An increase of more than 80% on the... - Plus the cashiers at the order pickup are not friendly at all.,0
MY experience with them has always been ... - I'm blown away by the way you work.,2
child labor and terrible service - Product quality increasingly poor,0
"A crazy world and closed checkouts, After it is certain they have the means to make work, stealing customers, and closing checkouts.",2
Service livraison Vir Patrimoine à... - Service livraison Vir Patrimoine à fuir.,1
"Vos prix ont une facheuse tendance à l'embonpoint ces derniers mois, la prise de poids, quelle qu'elle soit n'est jamais conseillé :-))",0
No commercial gesture after 3 different orders (nov 2021 february 2022 and june 2022) received broken so extended delays.,0
And that's how the MULLIEZ family made a bit more money thanks to the training provided by Norauto's CEO Mr DHENNIN Patrick.,2
"le jour des travaux appel a 14 h00 """"nous sommes desolés l'attelage est pas le bon par contre on a en a pontault combault qui va , on le rapatrie en urgence pour demain matin et on le monte""""""",0
"""I had the gears of my bike (old but bought from Decathlon) adjusted by Didier. Sincerely great. He knows his job very well. The other members of the bike workshops group are probably competent but I didn't deal with them, so ....""",2
"I'm very satisfied with norauto because it's serious and especially cheaper than the big garages that double the bill, try this company like me I think you will not be disappointed.",2
Avoid the workshop - cheap and good service just take a person who knows well before doing business in case,1
"Bonjour déçu de ce magasin , nous venons d'acheter des caisses de rangement , arrivé à la maison plastique de là caisse cassé et pas les bon couvercles fourni alors que nous avions déjà vérifié dans le magasin . bienur pas possible de retourner l'article",0
"At a time when it's no longer possible for people on moderate incomes to buy from 'classic' retailers who offer staggering prices... It's thanks to Decathlon that I'm still able to buy a bike, sportswear, etc...",2
"Nearly 350€ lost on first use. No support from you, as I cannot show the product (this is the reason given by the Tours-Nord store).",0
Nice but need more products.,2
"Nos hacen viajar 100Km con el coche previa llamada telefónica confirmándonos que en Leroy MERLÍN Tarragona tenían físicamente en stock un material a la venta en este momento, y cuando llegamos nos dicen QUE NO TIENEN NADA EN STOCK, QUE CON QUIEN HEMOS HABLADO ES UNA CENTRALITA Y NO TIENE NI IDEA...",0
Unclear order tracking. I've never spent so much time on a site to find out how to track my order (and I'm an online shopper).,0
Online ordering is a pain - Here's a small list of inconveniences I've had:,0
Esperas muy largas para pagar - NO SE LO RECOMIENDO A NADIE,1
Refusal of warranty coverage for... - norauto to be avoided,0
If you want a towbar fitted... - avoid Norauto!,1
"Es una especie de incumplimiento de las ventas por telefono. Te cobran, no te dan el pedido bien, en mi caso pendiente de una instalacion de aire. Luego no te atienden ni por telefono ni por mail. Ni se les ocurra comprar nada a esta gente.",0
"Moral of the story, we went to Castorama. An attentive and pleasant salesman had one in stock and gave it to us at the special price posted on the Leroy site. Casto has just picked up a customer.",1
"This time, the last straw! They contact me from the head office to offer me a commercial gesture (which is already a good thing) and to maintain the order. I refuse to maintain the order because I'm in a hurry to get the rest. They don't offer me a sales gesture.",0
Pessimiiii - - progetto inesistente; tutto lasciato all'arbitrio dell'acquirente,1
"Following three failures, which caused me to lose almost a day (which I was therefore unable to bill to customers ...",0
"Waiting for delivery - If they don't want to work, let them go.",0
Sale touch up bomb not delivered - Order made by website,0
"Delivery not kept - And on top of that, I'll have to travel to pick up the missing item.",0
Order of 3 x 3 metre worktops... - Order of 3 x 3 metre worktops delivered to the Sainte Geneviève des bois store.,1
Whereas the recommended oil is very clearly mentioned on the engine block and cap and on the label affixed from the previous overhaul. I was generously offered to change the oil again with the correct viscosity but still the wrong dexos.,0
Pésima atención - Francis FAMECHON,1
"I could, of course, take this case to court at this level of abuse. I'll probably stick to alerting the community to what this cvommerchant can afford and of course cross Auchan and its sister companies off the list forever for my purchases, including daily.",1
Delivery time too long for 3... - =====,0
PERFECT! - I ordered a battery on the Norauto website that I have to pick up at a center near me.,2
"Scam and theft - On January 15, 2021 I order online a tire Michelin Alpin 6 225/45 R17 94 V XL to replace a blown tire",0
"Ha pasado un mes y medio. Después de intentar contactar por teléfono con la responsable sin exito, después de varios viajes a la tienda, al final nos prometieron que hoy recibiríamos el material y que mañana nos colocarían el muevo plato de ducha.",0
Nice welcome and help to load my super package,2
Irrespectueux -,0
"Fuyez Leroy Merlin internet - Delivery was scheduled for July 7, information by SMS",1
SAV AUCHAN deplorable !!!! - I wanted to give them another chance but no more!,0
"Of course they didn't call me back, and it's now noon, two hours after my missed appointment.",0
"Result, for a necessary screwdriver job (plus the light control equipment of course) it cost him: 100€+150€.",1
Don't be in a hurry,1
"Online order for a kitchen, delivery times not met, products (sink, worktop, door etc....) indicated available but in total shortage with no scheduled delivery date.",0
"2 days later, a new email from Certissim telling me that they had tried several times to contact me by phone (totally false, I didn't even give them a phone number when I ordered) and that I had to send them a ribbon and a photocopy of my identity card! For a 150 euro purchase! Anyway... I send them what they want... 4 days later, no news, here we are on the delivery date given by auchan, I go on their site: order still not validated !!!",0
Excellent,2
"Fast and consistent with the service and the price, could have been faster if the agent had been able to move my car the first time. Handbrake problem! Service invoiced at the fixed price estimated over 1h30 and finally carried out in 15 minutes",2
25 jours auchan - 25 jours auchan - INTENTIONAL SCAM from 9 to 15/11/22,0
"Tienen mucha cara dura de cobrar a sus Clientes para luego no enviarles la mercancía, se quedan con nuestro dinero por un servicio no realizado.",0
Pésima servicio.Estoy muy decepcionada - April 16 still no refund.,0
Top,1
Pessimo - Ho fatto un ordine il 15 maggio e ad oggi 3 giugno non e' stato ancora consegnato.,1
"No me dejan devolver producto - Hello,",1
The last two times I've been... - me ;ok you give up I'll get my car back,1
attention antipathie à la boutique d'Ivry - Mi han confermato un ordine poi arrivato non c'era il materia,1
2) the design of these chains means that the armature is subjected to high pressure. Hence the ejections observed by many customers.,1
"Vas a la tienda compras un mueble y mampara de baño y hasta hay bien. Luego es cuando empieza la terrible historia te piden dinero por ir a medir mal, pagas al instalador pero eres tú quien te encargas de comprar en la tienda todo lo que hace falta según te ha indicado el supuesto profesional. Sigues pagando por qué te lo lleven a casa, pagas por la retirada. Vamos que te cuesta más todo que lo que es en si los productos adquiridos.",0
"Despite numerous problems with the delivery of my parcel due to the covid and the theft of parcels from my letterbox, Auchan customer service have been understanding and will shortly be sending me a new parcel. I will order from Auchan again without hesitation because I know that customer service is competent behind thank you very much.",2
I reported the defect within the hour and a courteous email promptly informed me that a free collection for exchange or refund will be arranged.,0
Today I go to this Norauto to buy bulbs that are burned out on my c5 tourer and 15 minutes to pay for my 4 bulbs and the waitress tells me my bosses are away on vacation both,0
"Al comprar online la página no funcionaba bien, me dieron un teléfono para completar el pago por venta telefónica y de un pedido de 53 me mandaron por mail un enlace de pago de 5.300 euros, se lo dije al chico por teléfono y me mando otro mail con un enlace igual. Le volví a preguntar y me colgó. Pensaba que era un error pero ahora tengo dudas...",0
"Lamentable! - I'm getting impatient, so I ask who manages this sort of thing.",0
"An employee found at the back of the store, who comes in and complains about having a sore hand, so can't help me put 15 packs of panelling on the cart. Figure it out!!!",0
scandalous -,0
No cat and no one for us... - I hope my reaction to your store will make your future customers think.,0
Ras,1
"- On May 27, 10 days after my cancellation request, a carrier called me to deliver the new blind. I refused the parcel and contacted Leroy merlin customer service for the ...th time, requesting a refund as soon as possible.",0
"""Good evening, - Returned for repair, they expected a """"two minute"""" job to take five days""",2
Vacuum cleaner under warranty returned by myself since the beginning of February; e-mail of reception of the device and since no more news! A call to the after-sales service informed me that my vacuum cleaner had been returned to Electrolux but no delay and no news of the fault! I'm not satisfied at all and I won't be buying any more appliances from Auchan.,0
CLIM NO LONGER WORKING - Hello.,0
"Customer for over 15 years with LM, just 1 year ago, I bought a thermal hedge trimmer (sterwins) recommended by the seller, as being a good brand and moreover guaranteed 3 years, exchanged in case of failure, without discussion.""",0
Excellent,2
Sin mueble y sin dinero. Vergonzoso - Totalmente asqueado de la atención recibida.,1
The site is well organized and the end of series are very interesting in terms of price! I recommend you take a look ;),2
I've been shopping online with Auchan delivery for almost 1 year now! I had a few problems in 2017 with snow storms but otherwise they are on time or early. Products are rarely missing. Very satisfied!,2
The gallery is dirty !!!! - ADVICE: NEVER order from Auchan.fr,0
Correct,1
Attention we noticed that auchan changes prices during promotions. And the sales price change on brand jeans so even sale prices jeans were at the base price and the same with small boat clothes labels have been changed for the sale we thought to make deals but not at all it's shameful especially for a supermarket that does not put full pockets.too disappointed I would no longer go to auchan.,0
I do it immediately and Confort Gaz Velaux explains that they don't provide maintenance?!!!???,0
"Warm welcome and staff available and benevolent the guy is super nice. I do not regret my choice to make my purchases or to collect my packages. The store is always nikel well tidy and very clean, it's great!!!😊😊😊👌",2
"Ceste con articoli in stock.. poi arrivi in cassa e costano prezzo pieno. Oltre alla scortesia della commessa del reparto tappezzeria e oltre 40 min di attesa per non essere serviti, anzi sbattuti su e giu per i reparti, da un collega all'altro. Oltre tutto l'imbroglio di artivoli in stock che poi di fatto non sono in stock",0
VERGOGNA !! assistenza pienamente inadeguata e senza un minimo di attenzione per il cliente - FATAL Leroy Merlín (CORUÑA),1
COMMAND TO DECATHLON HORREUR - Orders placed online and delivery requested in store.,1
I won't go to these atac stores anymore... - Boycott all Mulliez stores (money factory),0
Deceiving ... - Amazon has a future,0
Missing a product - The premises are unsanitary,0
Go to norauto coquelles first... - I won't be coming back to them!,0
"a few days ago a pump had a miserable flow rate, it takes you three hours to fill up, you leave before you get so fed up.",0
"Order placed 3 weeks ago, due November 2, still not received. Call to the store, impossible to know when it will be delivered, service completely null, I will avoid ordering in the future in this m. agasin",0
SAV deplorable - Next time: amazon!,1
"""Shelving to review!!! I take an article thinking of paying the price displayed below, surprised by checking my receipt I paid double. Of course it's a fresh product so they don't reimburse me (quite normal), but the least we could have done was to reimburse me the difference, I don't have to pay for the error in shelving! I really hate being scammed! Other people will most certainly be fooled because despite the report no one has rectified the error. Goodbye Auchan""",0
"Not a serious site - Following the installation of the pool, we would like to inform you that not only did we have ...",1
Ras,1
